student_id,application_id,discovery_channel,college_id,cohort_year,field_of_study,stem_flag,family_income_band,first_gen_flag,in_state_flag,hs_gpa,enrollment_status,graduation_year,dropout_year,years_to_outcome,cumulative_gpa
S000027,A000092,Campus Visit / Open House,C01,2018,Education,Non-STEM,Under $30K,1,0,3.29,Graduated,2022,,4,3.24
S000028,A000097,High School Counselor,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,1,0,2.6,Dropped Out,,2019,1,2.9
S000029,A000100,College Fair,C01,2018,Arts & Humanities,Non-STEM,$100K-$150K,1,0,4.0,Dropped Out,,2021,3,2.83
S000030,A000102,Online Search / Rankings Sites,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,0,0,3.56,Graduated,2022,,4,2.92
S000031,A000104,Online Search / Rankings Sites,C01,2018,Biology & Life Sciences,STEM,$60K-$100K,0,0,3.3,Graduated,2022,,4,2.65
S000032,A000106,Advertising / Direct Mail,C01,2018,Nursing & Health Sciences,STEM,$60K-$100K,0,1,3.48,Graduated,2022,,4,3.08
S000033,A000107,College Fair,C01,2018,Business,Non-STEM,$60K-$100K,0,0,2.84,Graduated,2023,,5,2.89
S000034,A000109,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,1,3.17,Dropped Out,,2021,3,2.45
S000035,A000111,College Website,C01,2018,Nursing & Health Sciences,STEM,$30K-$60K,1,1,2.91,Dropped Out,,2022,4,1.61
S000036,A000113,High School Counselor,C01,2018,Computer Science,STEM,Under $30K,0,1,3.83,Graduated,2024,,6,3.42
S000037,A000115,High School Counselor,C01,2018,Arts & Humanities,Non-STEM,$60K-$100K,0,0,2.75,Graduated,2022,,4,2.62
S000038,A000119,College Website,C01,2018,Psychology,Non-STEM,$100K-$150K,0,0,2.99,Graduated,2022,,4,2.48
S000039,A000122,Campus Visit / Open House,C01,2018,Social Sciences,Non-STEM,Under $30K,0,1,3.24,Graduated,2022,,4,3.08
S000040,A000128,Campus Visit / Open House,C01,2018,Psychology,Non-STEM,$60K-$100K,0,1,4.0,Graduated,2024,,6,3.31
S000041,A000134,Online Search / Rankings Sites,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,0,1,3.45,Graduated,2022,,4,3.22
S000042,A000139,Campus Visit / Open House,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,0,1,2.86,Dropped Out,,2020,2,2.25
S000043,A000140,Friends / Family / Alumni,C01,2018,Biology & Life Sciences,STEM,$60K-$100K,0,0,3.2,Dropped Out,,2022,4,2.36
S000044,A000142,Friends / Family / Alumni,C01,2018,Social Sciences,Non-STEM,$100K-$150K,0,1,2.97,Dropped Out,,2019,1,2.73
S000045,A000144,College Website,C01,2018,Education,Non-STEM,$150K+,0,0,3.27,Graduated,2022,,4,2.91
S000046,A000145,Friends / Family / Alumni,C01,2018,Business,Non-STEM,$60K-$100K,0,1,3.83,Graduated,2023,,5,2.77
S000047,A000164,High School Counselor,C01,2018,Biology & Life Sciences,STEM,Under $30K,1,1,2.18,Dropped Out,,2019,1,1.24
S000048,A000165,Social Media,C01,2018,Arts & Humanities,Non-STEM,$60K-$100K,0,1,3.07,Graduated,2023,,5,1.88
S000049,A000168,High School Counselor,C01,2018,Business,Non-STEM,$60K-$100K,1,0,2.66,Graduated,2022,,4,2.23
S000050,A000171,College Website,C01,2018,Education,Non-STEM,$30K-$60K,0,0,3.02,Graduated,2022,,4,2.62
S000051,A000178,Campus Visit / Open House,C01,2018,Education,Non-STEM,Under $30K,0,0,3.49,Dropped Out,,2019,1,2.75
S000052,A000181,Campus Visit / Open House,C01,2018,Physical Sciences & Math,STEM,$60K-$100K,0,1,3.79,Graduated,2022,,4,2.8
S000053,A000182,High School Counselor,C01,2018,Computer Science,STEM,Under $30K,1,0,2.3,Dropped Out,,2020,2,2.44
S000054,A000185,College Website,C01,2018,Arts & Humanities,Non-STEM,$150K+,0,0,4.0,Graduated,2023,,5,3.36
S000055,A000190,Social Media,C01,2018,Computer Science,STEM,Under $30K,0,0,3.19,Graduated,2022,,4,2.77
S000056,A000197,Advertising / Direct Mail,C01,2018,Physical Sciences & Math,STEM,$100K-$150K,0,0,3.33,Graduated,2023,,5,3.28
S000057,A000207,Campus Visit / Open House,C01,2018,Psychology,Non-STEM,$150K+,0,1,3.78,Dropped Out,,2019,1,2.12
S000058,A000208,High School Counselor,C01,2018,Business,Non-STEM,$60K-$100K,0,0,3.49,Graduated,2022,,4,2.3
S000059,A000210,Campus Visit / Open House,C01,2018,Business,Non-STEM,$60K-$100K,1,1,3.41,Graduated,2023,,5,2.35
S000060,A000216,Campus Visit / Open House,C01,2018,Business,Non-STEM,$60K-$100K,0,0,3.62,Graduated,2023,,5,3.09
S000061,A000217,College Fair,C01,2018,Arts & Humanities,Non-STEM,$100K-$150K,0,0,3.08,Graduated,2024,,6,3.34
S000062,A000220,Friends / Family / Alumni,C01,2018,Psychology,Non-STEM,Under $30K,1,0,3.9,Graduated,2022,,4,3.69
S000063,A000223,Online Search / Rankings Sites,C01,2018,Physical Sciences & Math,STEM,$30K-$60K,0,0,2.91,Dropped Out,,2022,4,2.38
S000064,A000225,Campus Visit / Open House,C01,2018,Physical Sciences & Math,STEM,$100K-$150K,0,0,3.77,Graduated,2022,,4,3.0
S000065,A000227,College Fair,C01,2018,Education,Non-STEM,Under $30K,1,0,3.48,Graduated,2022,,4,2.84
S000066,A000231,College Website,C01,2018,Biology & Life Sciences,STEM,$150K+,0,1,3.59,Graduated,2022,,4,3.29
S000067,A000235,College Fair,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,1,0,2.73,Graduated,2022,,4,2.43
S000068,A000236,Campus Visit / Open House,C01,2018,Engineering,STEM,$100K-$150K,0,0,2.67,Graduated,2024,,6,3.02
S000069,A000238,College Website,C01,2018,Business,Non-STEM,$30K-$60K,1,0,2.97,Graduated,2022,,4,2.98
S000070,A000249,Friends / Family / Alumni,C01,2018,Computer Science,STEM,Under $30K,1,0,3.16,Dropped Out,,2020,2,1.66
S000071,A000255,Friends / Family / Alumni,C01,2018,Psychology,Non-STEM,$60K-$100K,0,1,2.91,Dropped Out,,2019,1,2.65
S000072,A000257,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$30K-$60K,1,0,2.87,Graduated,2023,,5,2.77
S000073,A000261,Online Search / Rankings Sites,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,0,3.58,Dropped Out,,2021,3,2.6
S000074,A000263,College Website,C01,2018,Social Sciences,Non-STEM,$30K-$60K,1,0,2.56,Dropped Out,,2019,1,2.35
S000075,A000269,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$30K-$60K,0,0,3.29,Dropped Out,,2019,1,1.66
S000076,A000273,Campus Visit / Open House,C01,2018,Nursing & Health Sciences,STEM,Under $30K,1,1,3.42,Graduated,2024,,6,3.11
S000077,A000282,College Website,C01,2018,Arts & Humanities,Non-STEM,$60K-$100K,1,1,2.75,Dropped Out,,2019,1,1.69
S000078,A000295,High School Counselor,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,1,3.59,Graduated,2024,,6,2.43
S000079,A000297,Campus Visit / Open House,C01,2018,Education,Non-STEM,$100K-$150K,1,0,3.23,Graduated,2022,,4,2.75
S000080,A000300,Friends / Family / Alumni,C01,2018,Engineering,STEM,$100K-$150K,0,1,3.07,Graduated,2022,,4,3.02
S000081,A000301,Friends / Family / Alumni,C01,2018,Arts & Humanities,Non-STEM,$150K+,0,0,4.0,Dropped Out,,2020,2,2.59
S000082,A000302,Friends / Family / Alumni,C01,2018,Business,Non-STEM,$150K+,0,0,2.94,Dropped Out,,2021,3,1.71
S000083,A000304,College Fair,C01,2018,Education,Non-STEM,Under $30K,1,1,3.83,Graduated,2022,,4,3.25
S000084,A000308,High School Counselor,C01,2018,Computer Science,STEM,Under $30K,1,1,3.07,Graduated,2022,,4,2.18
S000085,A000309,High School Counselor,C01,2018,Education,Non-STEM,Under $30K,1,0,3.3,Graduated,2022,,4,2.66
S000086,A000310,Friends / Family / Alumni,C01,2018,Arts & Humanities,Non-STEM,Under $30K,1,0,3.08,Dropped Out,,2019,1,2.44
S000087,A000311,Online Search / Rankings Sites,C01,2018,Arts & Humanities,Non-STEM,Under $30K,0,1,3.7,Graduated,2022,,4,3.9
S000088,A000317,College Fair,C01,2018,Biology & Life Sciences,STEM,$60K-$100K,0,1,3.19,Dropped Out,,2022,4,1.58
S000089,A000323,Campus Visit / Open House,C01,2018,Arts & Humanities,Non-STEM,$150K+,0,0,3.5,Dropped Out,,2021,3,2.76
S000090,A000330,Online Search / Rankings Sites,C01,2018,Business,Non-STEM,Under $30K,1,0,3.95,Dropped Out,,2020,2,2.62
S000091,A000331,High School Counselor,C01,2018,Social Sciences,Non-STEM,$30K-$60K,1,0,2.97,Dropped Out,,2021,3,2.78
S000092,A000335,High School Counselor,C01,2018,Engineering,STEM,$150K+,0,1,3.82,Graduated,2022,,4,3.46
S000093,A000339,Campus Visit / Open House,C01,2018,Psychology,Non-STEM,Under $30K,1,0,3.31,Dropped Out,,2019,1,2.66
S000094,A000340,Friends / Family / Alumni,C01,2018,Arts & Humanities,Non-STEM,$100K-$150K,0,1,3.39,Dropped Out,,2021,3,2.63
S000095,A000349,College Fair,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,1,0,3.44,Graduated,2022,,4,2.52
S000096,A000353,Advertising / Direct Mail,C01,2018,Biology & Life Sciences,STEM,Under $30K,0,0,3.69,Graduated,2022,,4,2.74
S000097,A000358,College Fair,C01,2018,Nursing & Health Sciences,STEM,$150K+,0,0,2.78,Dropped Out,,2021,3,2.27
S000098,A000366,Campus Visit / Open House,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,1,0,3.45,Graduated,2022,,4,2.84
S000099,A000371,Campus Visit / Open House,C01,2018,Education,Non-STEM,$30K-$60K,1,1,3.46,Graduated,2022,,4,3.07
S000100,A000376,College Fair,C01,2018,Social Sciences,Non-STEM,$30K-$60K,0,1,2.76,Graduated,2023,,5,2.73
S000101,A000378,High School Counselor,C01,2018,Psychology,Non-STEM,Under $30K,1,0,3.34,Graduated,2022,,4,3.31
S000102,A000379,Social Media,C01,2018,Business,Non-STEM,$60K-$100K,0,1,2.68,Graduated,2023,,5,2.82
S000103,A000383,College Fair,C01,2018,Arts & Humanities,Non-STEM,$100K-$150K,0,1,3.01,Graduated,2023,,5,2.26
S000104,A000384,Online Search / Rankings Sites,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,0,2.59,Dropped Out,,2021,3,2.49
S000105,A000386,Online Search / Rankings Sites,C01,2018,Education,Non-STEM,$60K-$100K,1,1,3.68,Graduated,2022,,4,3.5
S000106,A000393,High School Counselor,C01,2018,Engineering,STEM,Under $30K,0,1,3.09,Dropped Out,,2021,3,3.39
S000107,A000396,College Website,C01,2018,Computer Science,STEM,$150K+,0,0,3.99,Dropped Out,,2019,1,2.87
S000108,A000397,Campus Visit / Open House,C01,2018,Arts & Humanities,Non-STEM,$100K-$150K,1,0,3.77,Graduated,2022,,4,3.3
S000109,A000402,Campus Visit / Open House,C01,2018,Psychology,Non-STEM,$150K+,0,0,3.59,Dropped Out,,2020,2,2.33
S000110,A000410,High School Counselor,C01,2018,Biology & Life Sciences,STEM,$60K-$100K,1,0,2.63,Dropped Out,,2021,3,2.58
S000111,A000411,College Fair,C01,2018,Biology & Life Sciences,STEM,$60K-$100K,0,0,3.63,Graduated,2024,,6,2.87
S000112,A000417,College Website,C01,2018,Education,Non-STEM,$30K-$60K,0,0,3.26,Graduated,2023,,5,2.77
S000113,A000418,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,1,4.0,Graduated,2022,,4,3.08
S000114,A000434,Advertising / Direct Mail,C01,2018,Education,Non-STEM,Under $30K,1,1,2.82,Dropped Out,,2020,2,1.23
S000115,A000435,High School Counselor,C01,2018,Engineering,STEM,Under $30K,0,0,3.81,Graduated,2022,,4,2.2
S000116,A000443,High School Counselor,C01,2018,Education,Non-STEM,$100K-$150K,0,0,3.28,Dropped Out,,2019,1,2.78
S000117,A000450,Friends / Family / Alumni,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,0,0,2.94,Graduated,2024,,6,3.38
S000118,A000451,College Fair,C01,2018,Psychology,Non-STEM,$100K-$150K,0,1,3.62,Dropped Out,,2019,1,2.05
S000119,A000454,Friends / Family / Alumni,C01,2018,Engineering,STEM,$30K-$60K,1,0,3.14,Dropped Out,,2019,1,2.58
S000120,A000456,College Website,C01,2018,Physical Sciences & Math,STEM,$60K-$100K,0,1,3.73,Graduated,2024,,6,2.46
S000121,A000457,High School Counselor,C01,2018,Computer Science,STEM,Under $30K,1,0,3.7,Graduated,2022,,4,2.86
S000122,A000459,College Website,C01,2018,Arts & Humanities,Non-STEM,$150K+,0,0,3.09,Dropped Out,,2019,1,2.87
S000123,A000464,Online Search / Rankings Sites,C01,2018,Nursing & Health Sciences,STEM,$60K-$100K,0,0,3.78,Graduated,2023,,5,3.17
S000124,A000465,Campus Visit / Open House,C01,2018,Social Sciences,Non-STEM,Under $30K,0,1,3.61,Graduated,2023,,5,3.35
S000125,A000467,Campus Visit / Open House,C01,2018,Psychology,Non-STEM,$150K+,0,0,3.44,Dropped Out,,2019,1,2.13
S000126,A000473,Campus Visit / Open House,C01,2019,Business,Non-STEM,Under $30K,1,1,3.21,Graduated,2025,,6,2.46
S000127,A000474,College Website,C01,2019,Psychology,Non-STEM,$150K+,0,0,3.29,Graduated,2024,,5,2.77
S000128,A000475,Friends / Family / Alumni,C01,2019,Business,Non-STEM,Under $30K,0,1,3.61,Graduated,2024,,5,3.01
S000129,A000476,Friends / Family / Alumni,C01,2019,Engineering,STEM,$150K+,0,0,3.3,Graduated,2024,,5,3.14
S000130,A000479,High School Counselor,C01,2019,Business,Non-STEM,$60K-$100K,0,1,3.0,Dropped Out,,2020,1,1.66
S000131,A000485,Social Media,C01,2019,Physical Sciences & Math,STEM,$60K-$100K,0,0,2.69,Dropped Out,,2020,1,2.22
S000132,A000486,Friends / Family / Alumni,C01,2019,Education,Non-STEM,$60K-$100K,0,0,2.94,Dropped Out,,2022,3,2.87
S000133,A000497,Friends / Family / Alumni,C01,2019,Nursing & Health Sciences,STEM,$60K-$100K,0,0,3.77,Graduated,2023,,4,3.45
S000134,A000498,College Website,C01,2019,Biology & Life Sciences,STEM,$60K-$100K,1,0,3.71,Graduated,2023,,4,3.1
S000135,A000503,College Website,C01,2019,Nursing & Health Sciences,STEM,$60K-$100K,1,1,2.84,Graduated,2023,,4,3.02
S000136,A000508,High School Counselor,C01,2019,Arts & Humanities,Non-STEM,$30K-$60K,1,0,3.94,Graduated,2023,,4,2.85
S000137,A000509,Online Search / Rankings Sites,C01,2019,Business,Non-STEM,$60K-$100K,0,0,3.12,Graduated,2024,,5,2.5
S000138,A000511,Friends / Family / Alumni,C01,2019,Engineering,STEM,Under $30K,1,0,3.71,Graduated,2023,,4,3.28
S000139,A000512,College Website,C01,2019,Nursing & Health Sciences,STEM,$100K-$150K,0,0,2.84,Graduated,2023,,4,3.12
S000140,A000516,High School Counselor,C01,2019,Nursing & Health Sciences,STEM,$150K+,1,0,3.53,Graduated,2023,,4,3.24
S000141,A000520,Campus Visit / Open House,C01,2019,Physical Sciences & Math,STEM,$60K-$100K,1,0,3.19,Graduated,2023,,4,2.62
S000142,A000522,High School Counselor,C01,2019,Education,Non-STEM,$30K-$60K,1,0,2.86,Graduated,2023,,4,3.0
S000143,A000523,College Fair,C01,2019,Social Sciences,Non-STEM,$100K-$150K,0,1,2.92,Dropped Out,,2021,2,1.62
S000144,A000524,Friends / Family / Alumni,C01,2019,Social Sciences,Non-STEM,$60K-$100K,0,0,3.31,Graduated,2023,,4,2.92
S000145,A000525,Friends / Family / Alumni,C01,2019,Engineering,STEM,$30K-$60K,0,0,2.86,Dropped Out,,2022,3,3.17
S000146,A000528,High School Counselor,C01,2019,Arts & Humanities,Non-STEM,Under $30K,0,0,3.4,Dropped Out,,2021,2,2.11
S000147,A000532,High School Counselor,C01,2019,Biology & Life Sciences,STEM,$30K-$60K,0,0,3.54,Graduated,2023,,4,3.43
S000148,A000533,Campus Visit / Open House,C01,2019,Arts & Humanities,Non-STEM,$100K-$150K,0,0,3.47,Graduated,2024,,5,3.56
S000149,A000534,College Website,C01,2019,Computer Science,STEM,$30K-$60K,0,0,3.08,Graduated,2024,,5,2.74
S000150,A000535,Social Media,C01,2019,Nursing & Health Sciences,STEM,$60K-$100K,0,1,3.29,Graduated,2023,,4,3.17
S000151,A000536,Campus Visit / Open House,C01,2019,Computer Science,STEM,Under $30K,0,0,3.95,Dropped Out,,2020,1,3.01
S000152,A000540,High School Counselor,C01,2019,Physical Sciences & Math,STEM,$30K-$60K,1,1,2.91,Graduated,2024,,5,2.81
S000153,A000541,High School Counselor,C01,2019,Computer Science,STEM,$100K-$150K,0,0,3.53,Graduated,2023,,4,3.46
S000154,A000546,Friends / Family / Alumni,C01,2019,Biology & Life Sciences,STEM,$100K-$150K,0,1,2.62,Dropped Out,,2021,2,2.13
S000155,A000552,Campus Visit / Open House,C01,2019,Psychology,Non-STEM,$100K-$150K,0,1,2.75,Dropped Out,,2020,1,2.79
S000156,A000553,College Website,C01,2019,Arts & Humanities,Non-STEM,$60K-$100K,0,0,3.3,Dropped Out,,2020,1,2.0
S000157,A000558,Online Search / Rankings Sites,C01,2019,Social Sciences,Non-STEM,Under $30K,1,0,2.78,Graduated,2023,,4,2.61
S000158,A000560,Friends / Family / Alumni,C01,2019,Computer Science,STEM,$30K-$60K,0,1,3.29,Graduated,2024,,5,2.44
S000159,A000563,Campus Visit / Open House,C01,2019,Psychology,Non-STEM,$100K-$150K,0,0,2.99,Graduated,2024,,5,2.65
S000160,A000564,College Website,C01,2019,Biology & Life Sciences,STEM,$100K-$150K,0,0,2.87,Dropped Out,,2020,1,2.31
S000161,A000565,College Website,C01,2019,Computer Science,STEM,$30K-$60K,0,0,2.1,Dropped Out,,2022,3,1.91
S000162,A000566,Campus Visit / Open House,C01,2019,Social Sciences,Non-STEM,$100K-$150K,0,1,3.52,Graduated,2023,,4,3.09
S000163,A000569,College Website,C01,2019,Computer Science,STEM,$60K-$100K,0,0,3.61,Graduated,2024,,5,3.19
S000164,A000572,Social Media,C01,2019,Business,Non-STEM,Under $30K,0,1,3.37,Graduated,2024,,5,3.32
S000165,A000573,Campus Visit / Open House,C01,2019,Business,Non-STEM,$60K-$100K,0,0,3.11,Graduated,2024,,5,2.85
S000166,A000595,Friends / Family / Alumni,C01,2019,Biology & Life Sciences,STEM,$60K-$100K,1,0,3.92,Dropped Out,,2020,1,2.51
S000167,A000602,Social Media,C01,2019,Computer Science,STEM,$100K-$150K,0,1,3.43,Graduated,2024,,5,2.9
S000168,A000608,College Website,C01,2019,Business,Non-STEM,Under $30K,1,0,3.68,Graduated,2023,,4,3.29
S000169,A000612,College Website,C01,2019,Nursing & Health Sciences,STEM,$150K+,0,1,3.12,Graduated,2023,,4,2.72
S000170,A000614,College Website,C01,2019,Nursing & Health Sciences,STEM,$150K+,0,1,3.13,Graduated,2023,,4,3.79
S000171,A000617,Social Media,C01,2019,Nursing & Health Sciences,STEM,Under $30K,0,0,3.03,Graduated,2023,,4,3.24
S000172,A000618,High School Counselor,C01,2019,Computer Science,STEM,$60K-$100K,0,1,2.83,Dropped Out,,2021,2,2.17
S000173,A000624,Friends / Family / Alumni,C01,2019,Computer Science,STEM,$30K-$60K,0,0,3.71,Graduated,2024,,5,2.96
S000174,A000625,High School Counselor,C01,2019,Social Sciences,Non-STEM,$30K-$60K,0,0,3.19,Graduated,2023,,4,2.8
S000175,A000627,College Website,C01,2019,Social Sciences,Non-STEM,$60K-$100K,1,0,3.05,Graduated,2023,,4,3.47
S000176,A000630,Advertising / Direct Mail,C01,2019,Physical Sciences & Math,STEM,$150K+,0,1,3.71,Graduated,2023,,4,3.55
S000177,A000631,Campus Visit / Open House,C01,2019,Nursing & Health Sciences,STEM,$30K-$60K,0,0,3.47,Graduated,2023,,4,2.91
S000178,A000632,College Fair,C01,2019,Business,Non-STEM,$30K-$60K,0,0,3.02,Graduated,2023,,4,2.53
S000179,A000635,High School Counselor,C01,2019,Business,Non-STEM,$30K-$60K,0,0,3.59,Graduated,2023,,4,2.93
S000180,A000645,Campus Visit / Open House,C01,2019,Social Sciences,Non-STEM,$60K-$100K,0,1,3.59,Graduated,2023,,4,2.98
S000181,A000648,Campus Visit / Open House,C01,2019,Education,Non-STEM,$100K-$150K,0,0,3.13,Dropped Out,,2021,2,2.5
S000182,A000655,Social Media,C01,2019,Psychology,Non-STEM,$60K-$100K,0,1,3.43,Graduated,2024,,5,3.3
S000183,A000667,Friends / Family / Alumni,C01,2019,Computer Science,STEM,$100K-$150K,1,0,3.23,Dropped Out,,2022,3,2.72
S000184,A000668,Friends / Family / Alumni,C01,2019,Education,Non-STEM,$30K-$60K,0,0,3.23,Graduated,2024,,5,3.23
S000185,A000669,Online Search / Rankings Sites,C01,2019,Arts & Humanities,Non-STEM,$30K-$60K,0,0,3.41,Dropped Out,,2021,2,2.26
S000186,A000672,College Website,C01,2019,Social Sciences,Non-STEM,Under $30K,1,1,3.26,Dropped Out,,2022,3,2.42
S000187,A000673,Social Media,C01,2019,Nursing & Health Sciences,STEM,$150K+,0,0,3.19,Graduated,2023,,4,2.99
S000188,A000679,Social Media,C01,2019,Business,Non-STEM,$150K+,0,1,3.14,Dropped Out,,2021,2,2.22
S000189,A000681,College Fair,C01,2019,Computer Science,STEM,$150K+,0,1,2.96,Graduated,2024,,5,2.85
S000190,A000685,High School Counselor,C01,2019,Engineering,STEM,$60K-$100K,1,0,2.97,Graduated,2023,,4,3.34
S000191,A000691,Social Media,C01,2019,Social Sciences,Non-STEM,$100K-$150K,0,1,4.0,Graduated,2023,,4,3.92
S000192,A000694,College Website,C01,2019,Education,Non-STEM,$100K-$150K,0,0,3.52,Dropped Out,,2021,2,2.64
S000193,A000700,Campus Visit / Open House,C01,2019,Biology & Life Sciences,STEM,$30K-$60K,1,0,2.22,Dropped Out,,2020,1,2.13
S000194,A000705,Friends / Family / Alumni,C01,2019,Nursing & Health Sciences,STEM,$100K-$150K,1,1,3.43,Dropped Out,,2023,4,2.22
S000195,A000716,Campus Visit / Open House,C01,2019,Business,Non-STEM,$30K-$60K,1,1,3.21,Dropped Out,,2021,2,2.05
S000196,A000719,High School Counselor,C01,2019,Education,Non-STEM,$30K-$60K,1,1,2.98,Graduated,2023,,4,2.56
S000197,A000727,College Website,C01,2019,Social Sciences,Non-STEM,$60K-$100K,0,0,3.53,Dropped Out,,2022,3,2.1
S000198,A000729,Friends / Family / Alumni,C01,2019,Physical Sciences & Math,STEM,$60K-$100K,0,0,3.7,Graduated,2023,,4,3.41
S000199,A000739,Campus Visit / Open House,C01,2019,Computer Science,STEM,$100K-$150K,0,0,2.82,Graduated,2023,,4,3.01
S000200,A000740,Online Search / Rankings Sites,C01,2019,Computer Science,STEM,$60K-$100K,0,1,3.43,Graduated,2025,,6,3.21
S000201,A000741,College Website,C01,2019,Business,Non-STEM,$150K+,0,0,2.63,Dropped Out,,2022,3,2.0
S000202,A000744,Friends / Family / Alumni,C01,2019,Social Sciences,Non-STEM,$100K-$150K,0,1,3.64,Dropped Out,,2021,2,2.83
S000203,A000746,Friends / Family / Alumni,C01,2019,Arts & Humanities,Non-STEM,Under $30K,1,0,3.42,Dropped Out,,2023,4,3.44
S000204,A000753,Online Search / Rankings Sites,C01,2019,Physical Sciences & Math,STEM,$100K-$150K,0,0,2.11,Dropped Out,,2021,2,0.98
S000205,A000758,Friends / Family / Alumni,C01,2019,Arts & Humanities,Non-STEM,$100K-$150K,0,0,3.14,Dropped Out,,2020,1,2.7
S000206,A000766,Campus Visit / Open House,C01,2019,Business,Non-STEM,Under $30K,0,0,3.33,Graduated,2023,,4,2.68
S000207,A000767,Social Media,C01,2019,Computer Science,STEM,Under $30K,0,0,3.67,Graduated,2024,,5,2.47
S000208,A000768,Social Media,C01,2019,Social Sciences,Non-STEM,$100K-$150K,0,0,2.91,Dropped Out,,2022,3,2.02
