student_id,application_id,discovery_channel,college_id,cohort_year,field_of_study,stem_flag,family_income_band,first_gen_flag,in_state_flag,hs_gpa,annual_tuition_usd,scholarship_type,annual_scholarship_usd,annual_grant_usd,annual_loan_usd,annual_net_cost_usd,enrollment_status,graduation_year,dropout_year,years_to_outcome,cumulative_gpa
S000022,A000076,Campus Visit / Open House,C01,2018,Education,Non-STEM,$60K-$100K,0,0,3.26,19140,Need-Based,10500,0,0,8640,Graduated,2022,,4,2.6
S000023,A000082,College Website,C01,2018,Social Sciences,Non-STEM,$60K-$100K,0,1,3.41,19520,None,0,0,0,19520,Graduated,2022,,4,3.04
S000024,A000084,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$60K-$100K,0,0,3.45,19300,Merit,3350,0,9800,15950,Graduated,2023,,5,3.01
S000025,A000087,High School Counselor,C01,2018,Business,Non-STEM,$100K-$150K,1,0,2.3,19060,None,0,0,11400,19060,Graduated,2023,,5,3.1
S000026,A000089,Online Search / Rankings Sites,C01,2018,Nursing & Health Sciences,STEM,Under $30K,0,1,3.55,19780,None,0,2184,9400,17596,Graduated,2022,,4,3.0
S000027,A000092,Campus Visit / Open House,C01,2018,Education,Non-STEM,Under $30K,1,0,3.29,19360,None,0,4271,0,15089,Graduated,2022,,4,3.24
S000028,A000097,High School Counselor,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,1,0,2.6,19230,None,0,0,0,19230,Dropped Out,,2019,1,2.9
S000029,A000100,College Fair,C01,2018,Arts & Humanities,Non-STEM,$100K-$150K,1,0,4.0,19730,None,0,0,11200,19730,Dropped Out,,2021,3,2.83
S000030,A000102,Online Search / Rankings Sites,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,0,0,3.56,19370,Merit,7500,0,4100,11870,Graduated,2022,,4,2.92
S000031,A000104,Online Search / Rankings Sites,C01,2018,Biology & Life Sciences,STEM,$60K-$100K,0,0,3.3,19000,None,0,0,0,19000,Graduated,2022,,4,2.65
S000032,A000106,Advertising / Direct Mail,C01,2018,Nursing & Health Sciences,STEM,$60K-$100K,0,1,3.48,19640,None,0,0,6500,19640,Graduated,2022,,4,3.08
S000033,A000107,College Fair,C01,2018,Business,Non-STEM,$60K-$100K,0,0,2.84,19350,None,0,0,8600,19350,Graduated,2023,,5,2.89
S000034,A000109,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,1,3.17,19570,None,0,0,10500,19570,Dropped Out,,2021,3,2.45
S000035,A000111,College Website,C01,2018,Nursing & Health Sciences,STEM,$30K-$60K,1,1,2.91,19160,None,0,5067,0,14093,Dropped Out,,2022,4,1.61
S000036,A000113,High School Counselor,C01,2018,Computer Science,STEM,Under $30K,0,1,3.83,19320,Need-Based,9700,0,4200,9620,Graduated,2024,,6,3.42
S000037,A000115,High School Counselor,C01,2018,Arts & Humanities,Non-STEM,$60K-$100K,0,0,2.75,19650,None,0,0,0,19650,Graduated,2022,,4,2.62
S000038,A000119,College Website,C01,2018,Psychology,Non-STEM,$100K-$150K,0,0,2.99,19610,None,0,0,10200,19610,Graduated,2022,,4,2.48
S000039,A000122,Campus Visit / Open House,C01,2018,Social Sciences,Non-STEM,Under $30K,0,1,3.24,19220,Need-Based,10050,4572,0,4598,Graduated,2022,,4,3.08
S000040,A000128,Campus Visit / Open House,C01,2018,Psychology,Non-STEM,$60K-$100K,0,1,4.0,19420,Merit,5450,0,5900,13970,Graduated,2024,,6,3.31
S000041,A000134,Online Search / Rankings Sites,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,0,1,3.45,19900,None,0,0,0,19900,Graduated,2022,,4,3.22
S000042,A000139,Campus Visit / Open House,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,0,1,2.86,18850,None,0,0,0,18850,Dropped Out,,2020,2,2.25
S000043,A000140,Friends / Family / Alumni,C01,2018,Biology & Life Sciences,STEM,$60K-$100K,0,0,3.2,19900,None,0,0,0,19900,Dropped Out,,2022,4,2.36
S000044,A000142,Friends / Family / Alumni,C01,2018,Social Sciences,Non-STEM,$100K-$150K,0,1,2.97,18820,Merit,3250,0,6600,15570,Dropped Out,,2019,1,2.73
S000045,A000144,College Website,C01,2018,Education,Non-STEM,$150K+,0,0,3.27,19620,None,0,0,0,19620,Graduated,2022,,4,2.91
S000046,A000145,Friends / Family / Alumni,C01,2018,Business,Non-STEM,$60K-$100K,0,1,3.83,19310,Need-Based,6550,0,0,12760,Graduated,2023,,5,2.77
S000047,A000164,High School Counselor,C01,2018,Biology & Life Sciences,STEM,Under $30K,1,1,2.18,19330,None,0,0,12300,19330,Dropped Out,,2019,1,1.24
S000048,A000165,Social Media,C01,2018,Arts & Humanities,Non-STEM,$60K-$100K,0,1,3.07,19680,Merit,7350,0,0,12330,Graduated,2023,,5,1.88
S000049,A000168,High School Counselor,C01,2018,Business,Non-STEM,$60K-$100K,1,0,2.66,19850,None,0,0,0,19850,Graduated,2022,,4,2.23
S000050,A000171,College Website,C01,2018,Education,Non-STEM,$30K-$60K,0,0,3.02,19500,Merit,7900,0,5700,11600,Graduated,2022,,4,2.62
S000051,A000178,Campus Visit / Open House,C01,2018,Education,Non-STEM,Under $30K,0,0,3.49,19190,Need-Based,7600,0,6300,11590,Dropped Out,,2019,1,2.75
S000052,A000181,Campus Visit / Open House,C01,2018,Physical Sciences & Math,STEM,$60K-$100K,0,1,3.79,19780,None,0,0,12000,19780,Graduated,2022,,4,2.8
S000053,A000182,High School Counselor,C01,2018,Computer Science,STEM,Under $30K,1,0,2.3,19630,None,0,0,7900,19630,Dropped Out,,2020,2,2.44
S000054,A000185,College Website,C01,2018,Arts & Humanities,Non-STEM,$150K+,0,0,4.0,18820,Need-Based,7600,0,7300,11220,Graduated,2023,,5,3.36
S000055,A000190,Social Media,C01,2018,Computer Science,STEM,Under $30K,0,0,3.19,19950,Merit,5450,2074,0,12426,Graduated,2022,,4,2.77
S000056,A000197,Advertising / Direct Mail,C01,2018,Physical Sciences & Math,STEM,$100K-$150K,0,0,3.33,19550,None,0,0,9700,19550,Graduated,2023,,5,3.28
S000057,A000207,Campus Visit / Open House,C01,2018,Psychology,Non-STEM,$150K+,0,1,3.78,18920,None,0,0,0,18920,Dropped Out,,2019,1,2.12
S000058,A000208,High School Counselor,C01,2018,Business,Non-STEM,$60K-$100K,0,0,3.49,19330,None,0,0,6400,19330,Graduated,2022,,4,2.3
S000059,A000210,Campus Visit / Open House,C01,2018,Business,Non-STEM,$60K-$100K,1,1,3.41,19860,Departmental,4550,0,8200,15310,Graduated,2023,,5,2.35
S000060,A000216,Campus Visit / Open House,C01,2018,Business,Non-STEM,$60K-$100K,0,0,3.62,19590,None,0,0,13000,19590,Graduated,2023,,5,3.09
S000061,A000217,College Fair,C01,2018,Arts & Humanities,Non-STEM,$100K-$150K,0,0,3.08,19230,Need-Based,9800,0,0,9430,Graduated,2024,,6,3.34
S000062,A000220,Friends / Family / Alumni,C01,2018,Psychology,Non-STEM,Under $30K,1,0,3.9,19470,None,0,2384,0,17086,Graduated,2022,,4,3.69
S000063,A000223,Online Search / Rankings Sites,C01,2018,Physical Sciences & Math,STEM,$30K-$60K,0,0,2.91,19190,None,0,2642,0,16548,Dropped Out,,2022,4,2.38
S000064,A000225,Campus Visit / Open House,C01,2018,Physical Sciences & Math,STEM,$100K-$150K,0,0,3.77,19400,None,0,0,0,19400,Graduated,2022,,4,3.0
S000065,A000227,College Fair,C01,2018,Education,Non-STEM,Under $30K,1,0,3.48,19870,None,0,4678,0,15192,Graduated,2022,,4,2.84
S000066,A000231,College Website,C01,2018,Biology & Life Sciences,STEM,$150K+,0,1,3.59,19970,Departmental,3700,0,0,16270,Graduated,2022,,4,3.29
S000067,A000235,College Fair,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,1,0,2.73,18820,None,0,0,0,18820,Graduated,2022,,4,2.43
S000068,A000236,Campus Visit / Open House,C01,2018,Engineering,STEM,$100K-$150K,0,0,2.67,19620,None,0,0,10900,19620,Graduated,2024,,6,3.02
S000069,A000238,College Website,C01,2018,Business,Non-STEM,$30K-$60K,1,0,2.97,19210,None,0,0,6800,19210,Graduated,2022,,4,2.98
S000070,A000249,Friends / Family / Alumni,C01,2018,Computer Science,STEM,Under $30K,1,0,3.16,19020,None,0,0,0,19020,Dropped Out,,2020,2,1.66
S000071,A000255,Friends / Family / Alumni,C01,2018,Psychology,Non-STEM,$60K-$100K,0,1,2.91,18930,None,0,0,9600,18930,Dropped Out,,2019,1,2.65
S000072,A000257,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$30K-$60K,1,0,2.87,19170,Need-Based,8050,6135,2800,4985,Graduated,2023,,5,2.77
S000073,A000261,Online Search / Rankings Sites,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,0,3.58,19660,None,0,0,0,19660,Dropped Out,,2021,3,2.6
S000074,A000263,College Website,C01,2018,Social Sciences,Non-STEM,$30K-$60K,1,0,2.56,19540,None,0,3359,0,16181,Dropped Out,,2019,1,2.35
S000075,A000269,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$30K-$60K,0,0,3.29,18860,None,0,0,11600,18860,Dropped Out,,2019,1,1.66
S000076,A000273,Campus Visit / Open House,C01,2018,Nursing & Health Sciences,STEM,Under $30K,1,1,3.42,18890,Merit,5350,0,5700,13540,Graduated,2024,,6,3.11
S000077,A000282,College Website,C01,2018,Arts & Humanities,Non-STEM,$60K-$100K,1,1,2.75,19800,None,0,0,8900,19800,Dropped Out,,2019,1,1.69
S000078,A000295,High School Counselor,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,1,3.59,19870,None,0,0,9800,19870,Graduated,2024,,6,2.43
S000079,A000297,Campus Visit / Open House,C01,2018,Education,Non-STEM,$100K-$150K,1,0,3.23,19960,Need-Based,4850,0,0,15110,Graduated,2022,,4,2.75
S000080,A000300,Friends / Family / Alumni,C01,2018,Engineering,STEM,$100K-$150K,0,1,3.07,18990,None,0,0,0,18990,Graduated,2022,,4,3.02
S000081,A000301,Friends / Family / Alumni,C01,2018,Arts & Humanities,Non-STEM,$150K+,0,0,4.0,19340,Merit,5700,0,7400,13640,Dropped Out,,2020,2,2.59
S000082,A000302,Friends / Family / Alumni,C01,2018,Business,Non-STEM,$150K+,0,0,2.94,18980,None,0,0,11200,18980,Dropped Out,,2021,3,1.71
S000083,A000304,College Fair,C01,2018,Education,Non-STEM,Under $30K,1,1,3.83,19800,Need-Based,6300,5475,0,8025,Graduated,2022,,4,3.25
S000084,A000308,High School Counselor,C01,2018,Computer Science,STEM,Under $30K,1,1,3.07,18910,None,0,2261,0,16649,Graduated,2022,,4,2.18
S000085,A000309,High School Counselor,C01,2018,Education,Non-STEM,Under $30K,1,0,3.3,19650,None,0,0,10700,19650,Graduated,2022,,4,2.66
S000086,A000310,Friends / Family / Alumni,C01,2018,Arts & Humanities,Non-STEM,Under $30K,1,0,3.08,19090,None,0,6402,7300,12688,Dropped Out,,2019,1,2.44
S000087,A000311,Online Search / Rankings Sites,C01,2018,Arts & Humanities,Non-STEM,Under $30K,0,1,3.7,19800,None,0,2920,0,16880,Graduated,2022,,4,3.9
S000088,A000317,College Fair,C01,2018,Biology & Life Sciences,STEM,$60K-$100K,0,1,3.19,19500,None,0,0,0,19500,Dropped Out,,2022,4,1.58
S000089,A000323,Campus Visit / Open House,C01,2018,Arts & Humanities,Non-STEM,$150K+,0,0,3.5,19580,None,0,0,0,19580,Dropped Out,,2021,3,2.76
S000090,A000330,Online Search / Rankings Sites,C01,2018,Business,Non-STEM,Under $30K,1,0,3.95,19380,None,0,0,12800,19380,Dropped Out,,2020,2,2.62
S000091,A000331,High School Counselor,C01,2018,Social Sciences,Non-STEM,$30K-$60K,1,0,2.97,19010,Departmental,2800,0,10100,16210,Dropped Out,,2021,3,2.78
S000092,A000335,High School Counselor,C01,2018,Engineering,STEM,$150K+,0,1,3.82,19930,None,0,0,0,19930,Graduated,2022,,4,3.46
S000093,A000339,Campus Visit / Open House,C01,2018,Psychology,Non-STEM,Under $30K,1,0,3.31,19410,None,0,5815,9200,13595,Dropped Out,,2019,1,2.66
S000094,A000340,Friends / Family / Alumni,C01,2018,Arts & Humanities,Non-STEM,$100K-$150K,0,1,3.39,19180,None,0,0,6900,19180,Dropped Out,,2021,3,2.63
S000095,A000349,College Fair,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,1,0,3.44,18840,Merit,3800,0,0,15040,Graduated,2022,,4,2.52
S000096,A000353,Advertising / Direct Mail,C01,2018,Biology & Life Sciences,STEM,Under $30K,0,0,3.69,19360,None,0,4004,0,15356,Graduated,2022,,4,2.74
S000097,A000358,College Fair,C01,2018,Nursing & Health Sciences,STEM,$150K+,0,0,2.78,19530,None,0,0,7700,19530,Dropped Out,,2021,3,2.27
S000098,A000366,Campus Visit / Open House,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,1,0,3.45,19290,None,0,0,0,19290,Graduated,2022,,4,2.84
S000099,A000371,Campus Visit / Open House,C01,2018,Education,Non-STEM,$30K-$60K,1,1,3.46,19480,None,0,0,0,19480,Graduated,2022,,4,3.07
S000100,A000376,College Fair,C01,2018,Social Sciences,Non-STEM,$30K-$60K,0,1,2.76,19650,None,0,2235,0,17415,Graduated,2023,,5,2.73
S000101,A000378,High School Counselor,C01,2018,Psychology,Non-STEM,Under $30K,1,0,3.34,19910,Merit,9700,5403,0,4807,Graduated,2022,,4,3.31
S000102,A000379,Social Media,C01,2018,Business,Non-STEM,$60K-$100K,0,1,2.68,19510,None,0,0,8600,19510,Graduated,2023,,5,2.82
S000103,A000383,College Fair,C01,2018,Arts & Humanities,Non-STEM,$100K-$150K,0,1,3.01,19270,None,0,0,0,19270,Graduated,2023,,5,2.26
S000104,A000384,Online Search / Rankings Sites,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,0,2.59,19720,None,0,0,8500,19720,Dropped Out,,2021,3,2.49
S000105,A000386,Online Search / Rankings Sites,C01,2018,Education,Non-STEM,$60K-$100K,1,1,3.68,19190,None,0,0,0,19190,Graduated,2022,,4,3.5
S000106,A000393,High School Counselor,C01,2018,Engineering,STEM,Under $30K,0,1,3.09,19510,None,0,0,7400,19510,Dropped Out,,2021,3,3.39
S000107,A000396,College Website,C01,2018,Computer Science,STEM,$150K+,0,0,3.99,19150,Athletic,6200,0,4700,12950,Dropped Out,,2019,1,2.87
S000108,A000397,Campus Visit / Open House,C01,2018,Arts & Humanities,Non-STEM,$100K-$150K,1,0,3.77,19750,Departmental,1850,0,0,17900,Graduated,2022,,4,3.3
S000109,A000402,Campus Visit / Open House,C01,2018,Psychology,Non-STEM,$150K+,0,0,3.59,19600,None,0,0,9900,19600,Dropped Out,,2020,2,2.33
S000110,A000410,High School Counselor,C01,2018,Biology & Life Sciences,STEM,$60K-$100K,1,0,2.63,19100,None,0,0,0,19100,Dropped Out,,2021,3,2.58
S000111,A000411,College Fair,C01,2018,Biology & Life Sciences,STEM,$60K-$100K,0,0,3.63,19800,Need-Based,13550,0,2200,6250,Graduated,2024,,6,2.87
S000112,A000417,College Website,C01,2018,Education,Non-STEM,$30K-$60K,0,0,3.26,19300,None,0,3352,6700,15948,Graduated,2023,,5,2.77
S000113,A000418,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,1,4.0,19570,Merit,4050,0,7700,15520,Graduated,2022,,4,3.08
S000114,A000434,Advertising / Direct Mail,C01,2018,Education,Non-STEM,Under $30K,1,1,2.82,19090,None,0,3053,10200,16037,Dropped Out,,2020,2,1.23
S000115,A000435,High School Counselor,C01,2018,Engineering,STEM,Under $30K,0,0,3.81,18810,Need-Based,5900,3542,0,9368,Graduated,2022,,4,2.2
S000116,A000443,High School Counselor,C01,2018,Education,Non-STEM,$100K-$150K,0,0,3.28,19280,None,0,0,10300,19280,Dropped Out,,2019,1,2.78
S000117,A000450,Friends / Family / Alumni,C01,2018,Biology & Life Sciences,STEM,$100K-$150K,0,0,2.94,19670,None,0,0,0,19670,Graduated,2024,,6,3.38
S000118,A000451,College Fair,C01,2018,Psychology,Non-STEM,$100K-$150K,0,1,3.62,18970,Merit,5400,0,0,13570,Dropped Out,,2019,1,2.05
S000119,A000454,Friends / Family / Alumni,C01,2018,Engineering,STEM,$30K-$60K,1,0,3.14,19340,Departmental,3950,0,4700,15390,Dropped Out,,2019,1,2.58
S000120,A000456,College Website,C01,2018,Physical Sciences & Math,STEM,$60K-$100K,0,1,3.73,19640,Merit,3350,0,10700,16290,Graduated,2024,,6,2.46
S000121,A000457,High School Counselor,C01,2018,Computer Science,STEM,Under $30K,1,0,3.7,18890,None,0,0,0,18890,Graduated,2022,,4,2.86
S000122,A000459,College Website,C01,2018,Arts & Humanities,Non-STEM,$150K+,0,0,3.09,19120,None,0,0,11100,19120,Dropped Out,,2019,1,2.87
S000123,A000464,Online Search / Rankings Sites,C01,2018,Nursing & Health Sciences,STEM,$60K-$100K,0,0,3.78,19340,None,0,0,6400,19340,Graduated,2023,,5,3.17
S000124,A000465,Campus Visit / Open House,C01,2018,Social Sciences,Non-STEM,Under $30K,0,1,3.61,19240,None,0,4077,0,15163,Graduated,2023,,5,3.35
S000125,A000467,Campus Visit / Open House,C01,2018,Psychology,Non-STEM,$150K+,0,0,3.44,19020,None,0,0,7600,19020,Dropped Out,,2019,1,2.13
S000126,A000473,Campus Visit / Open House,C01,2019,Business,Non-STEM,Under $30K,1,1,3.21,20080,Merit,10250,4632,3200,5198,Graduated,2025,,6,2.46
S000127,A000474,College Website,C01,2019,Psychology,Non-STEM,$150K+,0,0,3.29,20490,Merit,4800,0,0,15690,Graduated,2024,,5,2.77
S000128,A000475,Friends / Family / Alumni,C01,2019,Business,Non-STEM,Under $30K,0,1,3.61,19530,Merit,3950,0,9600,15580,Graduated,2024,,5,3.01
S000129,A000476,Friends / Family / Alumni,C01,2019,Engineering,STEM,$150K+,0,0,3.3,20300,None,0,0,8100,20300,Graduated,2024,,5,3.14
S000130,A000479,High School Counselor,C01,2019,Business,Non-STEM,$60K-$100K,0,1,3.0,20260,None,0,0,0,20260,Dropped Out,,2020,1,1.66
S000131,A000485,Social Media,C01,2019,Physical Sciences & Math,STEM,$60K-$100K,0,0,2.69,19580,None,0,0,7400,19580,Dropped Out,,2020,1,2.22
S000132,A000486,Friends / Family / Alumni,C01,2019,Education,Non-STEM,$60K-$100K,0,0,2.94,20410,None,0,0,0,20410,Dropped Out,,2022,3,2.87
S000133,A000497,Friends / Family / Alumni,C01,2019,Nursing & Health Sciences,STEM,$60K-$100K,0,0,3.77,20030,Need-Based,13000,0,2700,7030,Graduated,2023,,4,3.45
S000134,A000498,College Website,C01,2019,Biology & Life Sciences,STEM,$60K-$100K,1,0,3.71,19550,None,0,0,0,19550,Graduated,2023,,4,3.1
S000135,A000503,College Website,C01,2019,Nursing & Health Sciences,STEM,$60K-$100K,1,1,2.84,20380,None,0,0,9400,20380,Graduated,2023,,4,3.02
S000136,A000508,High School Counselor,C01,2019,Arts & Humanities,Non-STEM,$30K-$60K,1,0,3.94,20560,Need-Based,13700,0,3500,6860,Graduated,2023,,4,2.85
S000137,A000509,Online Search / Rankings Sites,C01,2019,Business,Non-STEM,$60K-$100K,0,0,3.12,20310,None,0,0,12700,20310,Graduated,2024,,5,2.5
S000138,A000511,Friends / Family / Alumni,C01,2019,Engineering,STEM,Under $30K,1,0,3.71,19830,Departmental,4100,5654,4600,10076,Graduated,2023,,4,3.28
S000139,A000512,College Website,C01,2019,Nursing & Health Sciences,STEM,$100K-$150K,0,0,2.84,19720,None,0,0,10700,19720,Graduated,2023,,4,3.12
S000140,A000516,High School Counselor,C01,2019,Nursing & Health Sciences,STEM,$150K+,1,0,3.53,19410,Athletic,12700,0,3200,6710,Graduated,2023,,4,3.24
S000141,A000520,Campus Visit / Open House,C01,2019,Physical Sciences & Math,STEM,$60K-$100K,1,0,3.19,19440,None,0,0,0,19440,Graduated,2023,,4,2.62
S000142,A000522,High School Counselor,C01,2019,Education,Non-STEM,$30K-$60K,1,0,2.86,19840,None,0,0,13800,19840,Graduated,2023,,4,3.0
S000143,A000523,College Fair,C01,2019,Social Sciences,Non-STEM,$100K-$150K,0,1,2.92,19620,None,0,0,0,19620,Dropped Out,,2021,2,1.62
S000144,A000524,Friends / Family / Alumni,C01,2019,Social Sciences,Non-STEM,$60K-$100K,0,0,3.31,19570,None,0,0,8000,19570,Graduated,2023,,4,2.92
S000145,A000525,Friends / Family / Alumni,C01,2019,Engineering,STEM,$30K-$60K,0,0,2.86,19830,None,0,0,13000,19830,Dropped Out,,2022,3,3.17
S000146,A000528,High School Counselor,C01,2019,Arts & Humanities,Non-STEM,Under $30K,0,0,3.4,20380,None,0,3665,0,16715,Dropped Out,,2021,2,2.11
S000147,A000532,High School Counselor,C01,2019,Biology & Life Sciences,STEM,$30K-$60K,0,0,3.54,19380,Merit,7450,5977,0,5953,Graduated,2023,,4,3.43
S000148,A000533,Campus Visit / Open House,C01,2019,Arts & Humanities,Non-STEM,$100K-$150K,0,0,3.47,19800,None,0,0,0,19800,Graduated,2024,,5,3.56
S000149,A000534,College Website,C01,2019,Computer Science,STEM,$30K-$60K,0,0,3.08,19630,Need-Based,7450,0,0,12180,Graduated,2024,,5,2.74
S000150,A000535,Social Media,C01,2019,Nursing & Health Sciences,STEM,$60K-$100K,0,1,3.29,19670,Merit,4750,0,5000,14920,Graduated,2023,,4,3.17
S000151,A000536,Campus Visit / Open House,C01,2019,Computer Science,STEM,Under $30K,0,0,3.95,20040,None,0,6263,0,13777,Dropped Out,,2020,1,3.01
S000152,A000540,High School Counselor,C01,2019,Physical Sciences & Math,STEM,$30K-$60K,1,1,2.91,19940,Need-Based,5300,0,0,14640,Graduated,2024,,5,2.81
S000153,A000541,High School Counselor,C01,2019,Computer Science,STEM,$100K-$150K,0,0,3.53,19770,Need-Based,8200,0,5800,11570,Graduated,2023,,4,3.46
S000154,A000546,Friends / Family / Alumni,C01,2019,Biology & Life Sciences,STEM,$100K-$150K,0,1,2.62,20560,None,0,0,7800,20560,Dropped Out,,2021,2,2.13
S000155,A000552,Campus Visit / Open House,C01,2019,Psychology,Non-STEM,$100K-$150K,0,1,2.75,19700,None,0,0,0,19700,Dropped Out,,2020,1,2.79
S000156,A000553,College Website,C01,2019,Arts & Humanities,Non-STEM,$60K-$100K,0,0,3.3,19610,Departmental,3150,0,0,16460,Dropped Out,,2020,1,2.0
S000157,A000558,Online Search / Rankings Sites,C01,2019,Social Sciences,Non-STEM,Under $30K,1,0,2.78,19550,None,0,6884,0,12666,Graduated,2023,,4,2.61
S000158,A000560,Friends / Family / Alumni,C01,2019,Computer Science,STEM,$30K-$60K,0,1,3.29,19760,Merit,6600,2319,0,10841,Graduated,2024,,5,2.44
S000159,A000563,Campus Visit / Open House,C01,2019,Psychology,Non-STEM,$100K-$150K,0,0,2.99,19670,None,0,0,7200,19670,Graduated,2024,,5,2.65
S000160,A000564,College Website,C01,2019,Biology & Life Sciences,STEM,$100K-$150K,0,0,2.87,20050,Merit,8450,0,0,11600,Dropped Out,,2020,1,2.31
S000161,A000565,College Website,C01,2019,Computer Science,STEM,$30K-$60K,0,0,2.1,20430,None,0,0,10800,20430,Dropped Out,,2022,3,1.91
S000162,A000566,Campus Visit / Open House,C01,2019,Social Sciences,Non-STEM,$100K-$150K,0,1,3.52,19620,None,0,0,0,19620,Graduated,2023,,4,3.09
S000163,A000569,College Website,C01,2019,Computer Science,STEM,$60K-$100K,0,0,3.61,20570,Merit,9100,0,5000,11470,Graduated,2024,,5,3.19
S000164,A000572,Social Media,C01,2019,Business,Non-STEM,Under $30K,0,1,3.37,19760,None,0,0,10900,19760,Graduated,2024,,5,3.32
S000165,A000573,Campus Visit / Open House,C01,2019,Business,Non-STEM,$60K-$100K,0,0,3.11,20060,None,0,0,0,20060,Graduated,2024,,5,2.85
