application_id,college_id,application_year,discovery_channel,applicant_state,intended_field,admitted_flag,enrolled_flag
A000070,C01,2018,College Website,PA,Social Sciences,1,0
A000071,C01,2018,College Fair,NJ,Arts & Humanities,1,0
A000072,C01,2018,Campus Visit / Open House,MA,Business,1,1
A000073,C01,2018,College Website,FL,Business,1,1
A000074,C01,2018,Online Search / Rankings Sites,WA,Nursing & Health Sciences,1,0
A000075,C01,2018,College Website,FL,Nursing & Health Sciences,1,0
A000076,C01,2018,Campus Visit / Open House,CA,Education,1,1
A000077,C01,2018,College Website,NJ,Physical Sciences & Math,1,0
A000078,C01,2018,College Website,WI,Nursing & Health Sciences,1,0
A000079,C01,2018,College Website,NC,Social Sciences,1,0
A000080,C01,2018,College Website,PA,Nursing & Health Sciences,1,0
A000081,C01,2018,College Website,PA,Psychology,0,0
A000082,C01,2018,College Website,PA,Social Sciences,1,1
A000083,C01,2018,Social Media,AZ,Engineering,1,0
A000084,C01,2018,Friends / Family / Alumni,NC,Nursing & Health Sciences,1,1
A000085,C01,2018,High School Counselor,IL,Psychology,1,0
A000086,C01,2018,Campus Visit / Open House,IL,Physical Sciences & Math,1,0
A000087,C01,2018,High School Counselor,NY,Business,1,1
A000088,C01,2018,Online Search / Rankings Sites,AZ,Business,0,0
A000089,C01,2018,Online Search / Rankings Sites,PA,Nursing & Health Sciences,1,1
A000090,C01,2018,College Website,CA,Biology & Life Sciences,1,0
A000091,C01,2018,College Website,OH,Psychology,1,0
A000092,C01,2018,Campus Visit / Open House,MI,Education,1,1
A000093,C01,2018,Campus Visit / Open House,PA,Social Sciences,1,0
A000094,C01,2018,Social Media,WA,Arts & Humanities,1,0
A000095,C01,2018,High School Counselor,NY,Education,1,0
A000096,C01,2018,College Website,MN,Business,0,0
A000097,C01,2018,High School Counselor,IL,Biology & Life Sciences,1,1
A000098,C01,2018,Social Media,IL,Engineering,1,0
A000099,C01,2018,College Website,NJ,Engineering,1,0
A000100,C01,2018,College Fair,AZ,Arts & Humanities,1,1
A000101,C01,2018,College Website,MN,Social Sciences,1,0
A000102,C01,2018,Online Search / Rankings Sites,WI,Physical Sciences & Math,1,1
A000103,C01,2018,College Website,PA,Computer Science,0,0
A000104,C01,2018,Online Search / Rankings Sites,OR,Biology & Life Sciences,1,1
A000105,C01,2018,Online Search / Rankings Sites,MI,Computer Science,1,0
A000106,C01,2018,Advertising / Direct Mail,PA,Nursing & Health Sciences,1,1
A000107,C01,2018,College Fair,MI,Business,1,1
A000108,C01,2018,College Fair,MI,Biology & Life Sciences,1,0
A000109,C01,2018,Friends / Family / Alumni,PA,Nursing & Health Sciences,1,1
A000110,C01,2018,College Fair,NC,Arts & Humanities,1,0
A000111,C01,2018,College Website,PA,Nursing & Health Sciences,1,1
A000112,C01,2018,Social Media,OH,Business,0,0
A000113,C01,2018,High School Counselor,PA,Education,1,1
A000114,C01,2018,Online Search / Rankings Sites,IL,Nursing & Health Sciences,0,0
A000115,C01,2018,High School Counselor,CA,Arts & Humanities,1,1
A000116,C01,2018,High School Counselor,GA,Social Sciences,1,0
A000117,C01,2018,Friends / Family / Alumni,PA,Nursing & Health Sciences,1,0
A000118,C01,2018,Campus Visit / Open House,PA,Social Sciences,0,0
A000119,C01,2018,College Website,AZ,Psychology,1,1
A000120,C01,2018,High School Counselor,NY,Social Sciences,0,0
A000121,C01,2018,High School Counselor,FL,Education,1,0
A000122,C01,2018,Campus Visit / Open House,PA,Social Sciences,1,1
A000123,C01,2018,High School Counselor,PA,Biology & Life Sciences,0,0
A000124,C01,2018,High School Counselor,AZ,Engineering,1,0
A000125,C01,2018,Campus Visit / Open House,PA,Social Sciences,1,0
A000126,C01,2018,High School Counselor,NY,Physical Sciences & Math,1,0
A000127,C01,2018,Friends / Family / Alumni,CA,Biology & Life Sciences,1,0
A000128,C01,2018,Campus Visit / Open House,PA,Psychology,1,1
A000129,C01,2018,Advertising / Direct Mail,CA,Computer Science,1,0
A000130,C01,2018,Online Search / Rankings Sites,PA,Social Sciences,1,0
A000131,C01,2018,High School Counselor,WA,Physical Sciences & Math,1,0
A000132,C01,2018,Campus Visit / Open House,TX,Business,1,0
A000133,C01,2018,Social Media,CO,Business,1,0
A000134,C01,2018,Online Search / Rankings Sites,PA,Biology & Life Sciences,1,1
A000135,C01,2018,Friends / Family / Alumni,WI,Computer Science,1,0
A000136,C01,2018,College Fair,MA,Biology & Life Sciences,1,0
A000137,C01,2018,Social Media,PA,Nursing & Health Sciences,1,0
A000138,C01,2018,Friends / Family / Alumni,PA,Computer Science,1,0
A000139,C01,2018,Campus Visit / Open House,PA,Biology & Life Sciences,1,1
A000140,C01,2018,Friends / Family / Alumni,CA,Biology & Life Sciences,1,1
A000141,C01,2018,College Website,MI,Psychology,0,0
A000142,C01,2018,Friends / Family / Alumni,PA,Social Sciences,1,1
A000143,C01,2018,Online Search / Rankings Sites,AZ,Psychology,1,0
A000144,C01,2018,College Website,TX,Education,1,1
A000145,C01,2018,Friends / Family / Alumni,PA,Psychology,1,1
A000146,C01,2018,College Website,AZ,Biology & Life Sciences,1,0
A000147,C01,2018,Friends / Family / Alumni,OR,Psychology,1,0
A000148,C01,2018,College Website,PA,Nursing & Health Sciences,0,0
A000149,C01,2018,Online Search / Rankings Sites,CA,Business,1,0
A000150,C01,2018,College Website,NY,Biology & Life Sciences,1,0
A000151,C01,2018,Advertising / Direct Mail,PA,Arts & Humanities,0,0
A000152,C01,2018,College Fair,IL,Psychology,1,0
A000153,C01,2018,Social Media,PA,Nursing & Health Sciences,1,0
A000154,C01,2018,College Fair,MA,Psychology,0,0
A000155,C01,2018,College Fair,NY,Business,0,0
A000156,C01,2018,Advertising / Direct Mail,VA,Social Sciences,1,0
A000157,C01,2018,Campus Visit / Open House,PA,Education,1,0
A000158,C01,2018,Social Media,PA,Psychology,1,0
A000159,C01,2018,College Website,PA,Psychology,1,0
A000160,C01,2018,Friends / Family / Alumni,PA,Engineering,1,0
A000161,C01,2018,College Website,PA,Computer Science,1,0
A000162,C01,2018,Social Media,PA,Arts & Humanities,1,0
A000163,C01,2018,Social Media,CO,Social Sciences,0,0
A000164,C01,2018,High School Counselor,PA,Biology & Life Sciences,1,1
A000165,C01,2018,Social Media,PA,Engineering,1,1
A000166,C01,2018,College Fair,CA,Nursing & Health Sciences,1,0
A000167,C01,2018,College Fair,IL,Business,0,0
A000168,C01,2018,High School Counselor,OR,Business,1,1
A000169,C01,2018,Social Media,WI,Engineering,1,0
A000170,C01,2018,Online Search / Rankings Sites,CO,Physical Sciences & Math,1,0
A000171,C01,2018,College Website,NY,Biology & Life Sciences,1,1
A000172,C01,2018,College Website,VA,Business,1,0
A000173,C01,2018,College Website,WI,Nursing & Health Sciences,1,0
A000174,C01,2018,Friends / Family / Alumni,TX,Engineering,1,0
A000175,C01,2018,High School Counselor,PA,Education,1,0
A000176,C01,2018,College Fair,OR,Engineering,0,0
A000177,C01,2018,Friends / Family / Alumni,PA,Education,1,0
A000178,C01,2018,Campus Visit / Open House,CO,Education,1,1
A000179,C01,2018,Online Search / Rankings Sites,PA,Nursing & Health Sciences,1,0
A000180,C01,2018,College Fair,PA,Psychology,1,0
A000181,C01,2018,Campus Visit / Open House,PA,Physical Sciences & Math,1,1
A000182,C01,2018,High School Counselor,NJ,Computer Science,1,1
A000183,C01,2018,Campus Visit / Open House,PA,Nursing & Health Sciences,1,0
A000184,C01,2018,College Website,CO,Arts & Humanities,0,0
A000185,C01,2018,College Website,CO,Arts & Humanities,1,1
A000186,C01,2018,Online Search / Rankings Sites,PA,Biology & Life Sciences,1,0
A000187,C01,2018,High School Counselor,WI,Biology & Life Sciences,1,0
A000188,C01,2018,High School Counselor,PA,Business,0,0
A000189,C01,2018,Friends / Family / Alumni,PA,Education,1,0
A000190,C01,2018,Social Media,TN,Computer Science,1,1
A000191,C01,2018,Online Search / Rankings Sites,FL,Nursing & Health Sciences,0,0
A000192,C01,2018,College Fair,PA,Social Sciences,0,0
A000193,C01,2018,High School Counselor,WI,Physical Sciences & Math,1,0
A000194,C01,2018,High School Counselor,PA,Education,1,0
A000195,C01,2018,Advertising / Direct Mail,IL,Business,1,0
A000196,C01,2018,Friends / Family / Alumni,MN,Nursing & Health Sciences,0,0
A000197,C01,2018,Advertising / Direct Mail,FL,Physical Sciences & Math,1,1
A000198,C01,2018,College Website,NY,Arts & Humanities,1,0
A000199,C01,2018,Online Search / Rankings Sites,PA,Biology & Life Sciences,1,0
A000200,C01,2018,Friends / Family / Alumni,CA,Psychology,1,0
A000201,C01,2018,College Website,MN,Computer Science,1,0
A000202,C01,2018,Social Media,NC,Computer Science,1,0
A000203,C01,2018,Friends / Family / Alumni,PA,Nursing & Health Sciences,1,0
A000204,C01,2018,College Website,GA,Nursing & Health Sciences,0,0
A000205,C01,2018,High School Counselor,WI,Business,0,0
A000206,C01,2018,College Fair,PA,Education,1,0
A000207,C01,2018,Campus Visit / Open House,PA,Business,1,1
A000208,C01,2018,High School Counselor,OR,Business,1,1
A000209,C01,2018,High School Counselor,IL,Biology & Life Sciences,1,0
A000210,C01,2018,Campus Visit / Open House,PA,Business,1,1
A000211,C01,2018,Online Search / Rankings Sites,OR,Business,0,0
A000212,C01,2018,College Fair,NY,Biology & Life Sciences,1,0
A000213,C01,2018,College Website,CA,Engineering,1,0
A000214,C01,2018,Advertising / Direct Mail,TX,Psychology,0,0
A000215,C01,2018,Online Search / Rankings Sites,OR,Arts & Humanities,1,0
A000216,C01,2018,Campus Visit / Open House,GA,Business,1,1
A000217,C01,2018,College Fair,WA,Arts & Humanities,1,1
A000218,C01,2018,College Website,NJ,Arts & Humanities,1,0
A000219,C01,2018,Advertising / Direct Mail,MA,Education,1,0
A000220,C01,2018,Friends / Family / Alumni,AZ,Psychology,1,1
A000221,C01,2018,Friends / Family / Alumni,FL,Psychology,0,0
A000222,C01,2018,College Website,PA,Psychology,1,0
A000223,C01,2018,Online Search / Rankings Sites,NJ,Social Sciences,1,1
A000224,C01,2018,College Website,OH,Nursing & Health Sciences,1,0
A000225,C01,2018,Campus Visit / Open House,WA,Physical Sciences & Math,1,1
A000226,C01,2018,College Website,MI,Biology & Life Sciences,1,0
A000227,C01,2018,College Fair,GA,Education,1,1
A000228,C01,2018,College Website,MI,Engineering,1,0
A000229,C01,2018,Online Search / Rankings Sites,IL,Nursing & Health Sciences,1,0
A000230,C01,2018,Friends / Family / Alumni,PA,Biology & Life Sciences,0,0
A000231,C01,2018,College Website,PA,Biology & Life Sciences,1,1
A000232,C01,2018,College Website,PA,Computer Science,1,0
A000233,C01,2018,College Website,PA,Engineering,1,0
A000234,C01,2018,Friends / Family / Alumni,MN,Business,0,0
A000235,C01,2018,College Fair,GA,Biology & Life Sciences,1,1
A000236,C01,2018,Campus Visit / Open House,MN,Engineering,1,1
A000237,C01,2018,Online Search / Rankings Sites,PA,Physical Sciences & Math,1,0
A000238,C01,2018,College Website,IL,Business,1,1
A000239,C01,2018,College Fair,PA,Engineering,1,0
A000240,C01,2018,Online Search / Rankings Sites,MI,Engineering,1,0
A000241,C01,2018,College Fair,PA,Biology & Life Sciences,1,0
A000242,C01,2018,Friends / Family / Alumni,NJ,Computer Science,1,0
A000243,C01,2018,College Fair,PA,Psychology,0,0
A000244,C01,2018,College Website,NY,Physical Sciences & Math,1,0
A000245,C01,2018,College Website,PA,Business,1,0
A000246,C01,2018,College Website,FL,Social Sciences,1,0
A000247,C01,2018,High School Counselor,PA,Nursing & Health Sciences,1,0
A000248,C01,2018,College Fair,IL,Business,1,0
A000249,C01,2018,Friends / Family / Alumni,IL,Computer Science,1,1
A000250,C01,2018,Online Search / Rankings Sites,PA,Nursing & Health Sciences,0,0
A000251,C01,2018,College Website,VA,Psychology,0,0
A000252,C01,2018,Friends / Family / Alumni,MN,Psychology,0,0
A000253,C01,2018,College Website,PA,Social Sciences,0,0
A000254,C01,2018,Campus Visit / Open House,PA,Biology & Life Sciences,0,0
A000255,C01,2018,Friends / Family / Alumni,PA,Psychology,1,1
A000256,C01,2018,Advertising / Direct Mail,PA,Computer Science,1,0
A000257,C01,2018,Friends / Family / Alumni,CO,Nursing & Health Sciences,1,1
A000258,C01,2018,College Website,IL,Nursing & Health Sciences,1,0
A000259,C01,2018,Friends / Family / Alumni,NJ,Psychology,1,0
A000260,C01,2018,College Website,IL,Physical Sciences & Math,0,0
A000261,C01,2018,Online Search / Rankings Sites,MI,Nursing & Health Sciences,1,1
A000262,C01,2018,Friends / Family / Alumni,MA,Biology & Life Sciences,1,0
A000263,C01,2018,College Website,GA,Social Sciences,1,1
A000264,C01,2018,College Website,PA,Education,1,0
A000265,C01,2018,College Website,TN,Biology & Life Sciences,1,0
A000266,C01,2018,Advertising / Direct Mail,TX,Psychology,0,0
A000267,C01,2018,High School Counselor,PA,Social Sciences,1,0
A000268,C01,2018,College Fair,TX,Arts & Humanities,1,0
A000269,C01,2018,Friends / Family / Alumni,NJ,Nursing & Health Sciences,1,1
A000270,C01,2018,Social Media,TN,Arts & Humanities,1,0
A000271,C01,2018,College Website,MA,Nursing & Health Sciences,1,0
A000272,C01,2018,Advertising / Direct Mail,TN,Education,1,0
A000273,C01,2018,Campus Visit / Open House,PA,Nursing & Health Sciences,1,1
A000274,C01,2018,Social Media,PA,Business,1,0
A000275,C01,2018,Friends / Family / Alumni,TX,Nursing & Health Sciences,0,0
A000276,C01,2018,Friends / Family / Alumni,MI,Computer Science,1,0
A000277,C01,2018,Advertising / Direct Mail,CO,Engineering,0,0
A000278,C01,2018,College Website,IL,Business,1,0
A000279,C01,2018,High School Counselor,TX,Computer Science,1,0
A000280,C01,2018,High School Counselor,CA,Computer Science,0,0
A000281,C01,2018,High School Counselor,PA,Education,1,0
A000282,C01,2018,College Website,PA,Arts & Humanities,1,1
A000283,C01,2018,College Website,PA,Psychology,1,0
A000284,C01,2018,Campus Visit / Open House,PA,Nursing & Health Sciences,1,0
A000285,C01,2018,Campus Visit / Open House,MA,Engineering,1,0
A000286,C01,2018,High School Counselor,GA,Arts & Humanities,0,0
A000287,C01,2018,Friends / Family / Alumni,PA,Nursing & Health Sciences,0,0
A000288,C01,2018,Friends / Family / Alumni,VA,Computer Science,1,0
A000289,C01,2018,High School Counselor,AZ,Physical Sciences & Math,1,0
A000290,C01,2018,High School Counselor,PA,Physical Sciences & Math,1,0
A000291,C01,2018,College Website,PA,Computer Science,1,0
A000292,C01,2018,Social Media,PA,Psychology,1,0
A000293,C01,2018,Campus Visit / Open House,MN,Computer Science,0,0
A000294,C01,2018,College Website,PA,Social Sciences,0,0
A000295,C01,2018,High School Counselor,PA,Nursing & Health Sciences,1,1
A000296,C01,2018,High School Counselor,PA,Business,1,0
A000297,C01,2018,Campus Visit / Open House,WI,Psychology,1,1
A000298,C01,2018,Social Media,PA,Business,1,0
A000299,C01,2018,Social Media,NJ,Psychology,1,0
A000300,C01,2018,Friends / Family / Alumni,PA,Engineering,1,1
A000301,C01,2018,Friends / Family / Alumni,CO,Arts & Humanities,1,1
A000302,C01,2018,Friends / Family / Alumni,CO,Education,1,1
A000303,C01,2018,Campus Visit / Open House,IL,Computer Science,0,0
A000304,C01,2018,College Fair,PA,Education,1,1
A000305,C01,2018,Social Media,TN,Business,0,0
A000306,C01,2018,High School Counselor,NC,Computer Science,1,0
A000307,C01,2018,Friends / Family / Alumni,PA,Business,1,0
A000308,C01,2018,High School Counselor,PA,Arts & Humanities,1,1
A000309,C01,2018,High School Counselor,NY,Education,1,1
A000310,C01,2018,Friends / Family / Alumni,MA,Arts & Humanities,1,1
A000311,C01,2018,Online Search / Rankings Sites,PA,Arts & Humanities,1,1
A000312,C01,2018,Online Search / Rankings Sites,PA,Physical Sciences & Math,0,0
A000313,C01,2018,High School Counselor,MI,Business,1,0
A000314,C01,2018,Social Media,GA,Arts & Humanities,1,0
A000315,C01,2018,College Fair,VA,Biology & Life Sciences,1,0
A000316,C01,2018,Campus Visit / Open House,WI,Computer Science,1,0
A000317,C01,2018,College Fair,PA,Biology & Life Sciences,1,1
A000318,C01,2018,High School Counselor,PA,Engineering,1,0
A000319,C01,2018,College Website,AZ,Business,0,0
A000320,C01,2018,College Website,CO,Business,0,0
A000321,C01,2018,Online Search / Rankings Sites,PA,Nursing & Health Sciences,1,0
A000322,C01,2018,College Website,PA,Computer Science,1,0
A000323,C01,2018,Campus Visit / Open House,CO,Arts & Humanities,1,1
A000324,C01,2018,Campus Visit / Open House,TX,Psychology,0,0
A000325,C01,2018,College Website,PA,Biology & Life Sciences,1,0
A000326,C01,2018,Campus Visit / Open House,CO,Computer Science,1,0
A000327,C01,2018,College Fair,MI,Computer Science,1,0
A000328,C01,2018,College Website,AZ,Business,1,0
A000329,C01,2018,College Fair,MN,Education,1,0
A000330,C01,2018,Online Search / Rankings Sites,CO,Business,1,1
A000331,C01,2018,High School Counselor,FL,Social Sciences,1,1
A000332,C01,2018,College Website,PA,Social Sciences,1,0
A000333,C01,2018,Friends / Family / Alumni,IL,Biology & Life Sciences,0,0
A000334,C01,2018,College Website,WA,Arts & Humanities,1,0
A000335,C01,2018,High School Counselor,PA,Engineering,1,1
A000336,C01,2018,Advertising / Direct Mail,PA,Arts & Humanities,1,0
A000337,C01,2018,Advertising / Direct Mail,PA,Social Sciences,0,0
A000338,C01,2018,College Fair,FL,Education,1,0
A000339,C01,2018,Campus Visit / Open House,IL,Psychology,1,1
A000340,C01,2018,Friends / Family / Alumni,PA,Arts & Humanities,1,1
A000341,C01,2018,Friends / Family / Alumni,MN,Physical Sciences & Math,1,0
A000342,C01,2018,High School Counselor,NJ,Computer Science,1,0
A000343,C01,2018,Friends / Family / Alumni,PA,Education,1,0
A000344,C01,2018,College Website,VA,Social Sciences,1,0
A000345,C01,2018,College Website,PA,Computer Science,0,0
A000346,C01,2018,Social Media,MI,Arts & Humanities,1,0
A000347,C01,2018,College Website,NC,Computer Science,1,0
A000348,C01,2018,College Website,PA,Biology & Life Sciences,1,0
A000349,C01,2018,College Fair,MN,Nursing & Health Sciences,1,1
A000350,C01,2018,Advertising / Direct Mail,OH,Business,1,0
A000351,C01,2018,Social Media,MI,Arts & Humanities,1,0
A000352,C01,2018,College Fair,VA,Computer Science,0,0
A000353,C01,2018,Advertising / Direct Mail,FL,Computer Science,1,1
A000354,C01,2018,College Website,PA,Business,1,0
A000355,C01,2018,High School Counselor,CA,Computer Science,1,0
A000356,C01,2018,High School Counselor,NY,Education,0,0
A000357,C01,2018,College Website,MN,Arts & Humanities,1,0
A000358,C01,2018,College Fair,IL,Nursing & Health Sciences,1,1
A000359,C01,2018,High School Counselor,GA,Biology & Life Sciences,0,0
A000360,C01,2018,High School Counselor,PA,Computer Science,1,0
A000361,C01,2018,College Website,OR,Psychology,0,0
A000362,C01,2018,College Website,PA,Computer Science,1,0
A000363,C01,2018,Online Search / Rankings Sites,FL,Computer Science,1,0
A000364,C01,2018,College Website,MA,Computer Science,1,0
A000365,C01,2018,Campus Visit / Open House,AZ,Biology & Life Sciences,0,0
A000366,C01,2018,Campus Visit / Open House,AZ,Biology & Life Sciences,1,1
A000367,C01,2018,High School Counselor,PA,Computer Science,1,0
A000368,C01,2018,Social Media,MN,Education,1,0
A000369,C01,2018,High School Counselor,PA,Social Sciences,1,0
A000370,C01,2018,College Website,TN,Engineering,1,0
A000371,C01,2018,Campus Visit / Open House,PA,Education,1,1
A000372,C01,2018,Online Search / Rankings Sites,PA,Arts & Humanities,0,0
A000373,C01,2018,Friends / Family / Alumni,VA,Business,1,0
A000374,C01,2018,Friends / Family / Alumni,FL,Biology & Life Sciences,1,0
A000375,C01,2018,Friends / Family / Alumni,OR,Business,1,0
A000376,C01,2018,College Fair,PA,Social Sciences,1,1
A000377,C01,2018,College Website,TX,Business,1,0
A000378,C01,2018,High School Counselor,NY,Psychology,1,1
A000379,C01,2018,Social Media,PA,Business,1,1
A000380,C01,2018,Campus Visit / Open House,PA,Biology & Life Sciences,1,0
A000381,C01,2018,Online Search / Rankings Sites,GA,Physical Sciences & Math,1,0
A000382,C01,2018,High School Counselor,NY,Engineering,1,0
A000383,C01,2018,College Fair,PA,Arts & Humanities,1,1
A000384,C01,2018,Online Search / Rankings Sites,TN,Physical Sciences & Math,1,1
A000385,C01,2018,High School Counselor,CA,Arts & Humanities,1,0
A000386,C01,2018,Online Search / Rankings Sites,PA,Business,1,1
A000387,C01,2018,Social Media,PA,Education,0,0
A000388,C01,2018,Online Search / Rankings Sites,PA,Nursing & Health Sciences,1,0
A000389,C01,2018,Campus Visit / Open House,PA,Computer Science,1,0
A000390,C01,2018,High School Counselor,PA,Arts & Humanities,1,0
A000391,C01,2018,Social Media,CO,Social Sciences,1,0
A000392,C01,2018,College Website,GA,Biology & Life Sciences,1,0
A000393,C01,2018,High School Counselor,PA,Engineering,1,1
A000394,C01,2018,Online Search / Rankings Sites,PA,Education,1,0
A000395,C01,2018,Friends / Family / Alumni,NC,Social Sciences,0,0
A000396,C01,2018,College Website,WI,Computer Science,1,1
A000397,C01,2018,Campus Visit / Open House,CA,Arts & Humanities,1,1
A000398,C01,2018,College Website,GA,Business,1,0
A000399,C01,2018,College Website,WA,Business,0,0
A000400,C01,2018,Online Search / Rankings Sites,FL,Psychology,1,0
A000401,C01,2018,High School Counselor,PA,Physical Sciences & Math,1,0
A000402,C01,2018,Campus Visit / Open House,NY,Business,1,1
A000403,C01,2018,Social Media,NY,Business,1,0
A000404,C01,2018,College Website,PA,Nursing & Health Sciences,0,0
A000405,C01,2018,Campus Visit / Open House,PA,Arts & Humanities,1,0
A000406,C01,2018,Friends / Family / Alumni,TN,Business,1,0
A000407,C01,2018,Friends / Family / Alumni,PA,Biology & Life Sciences,1,0
A000408,C01,2018,Advertising / Direct Mail,PA,Physical Sciences & Math,1,0
A000409,C01,2018,Friends / Family / Alumni,PA,Nursing & Health Sciences,0,0
A000410,C01,2018,High School Counselor,CA,Biology & Life Sciences,1,1
A000411,C01,2018,College Fair,NC,Biology & Life Sciences,1,1
A000412,C01,2018,Online Search / Rankings Sites,TX,Education,0,0
A000413,C01,2018,Friends / Family / Alumni,PA,Engineering,0,0
A000414,C01,2018,Advertising / Direct Mail,PA,Computer Science,1,0
A000415,C01,2018,College Fair,NJ,Business,1,0
A000416,C01,2018,Online Search / Rankings Sites,CO,Social Sciences,1,0
A000417,C01,2018,College Website,MI,Education,1,1
A000418,C01,2018,Friends / Family / Alumni,PA,Nursing & Health Sciences,1,1
A000419,C01,2018,High School Counselor,PA,Computer Science,1,0
A000420,C01,2018,Social Media,PA,Arts & Humanities,0,0
A000421,C01,2018,Friends / Family / Alumni,OH,Nursing & Health Sciences,0,0
A000422,C01,2018,Advertising / Direct Mail,VA,Engineering,0,0
A000423,C01,2018,Advertising / Direct Mail,PA,Biology & Life Sciences,0,0
A000424,C01,2018,Campus Visit / Open House,TX,Engineering,1,0
A000425,C01,2018,Friends / Family / Alumni,CO,Business,1,0
A000426,C01,2018,College Fair,TN,Computer Science,1,0
A000427,C01,2018,Campus Visit / Open House,PA,Business,1,0
A000428,C01,2018,College Website,PA,Biology & Life Sciences,1,0
A000429,C01,2018,College Website,PA,Social Sciences,1,0
A000430,C01,2018,College Fair,IL,Biology & Life Sciences,1,0
A000431,C01,2018,High School Counselor,PA,Nursing & Health Sciences,1,0
