college_id,fiscal_year,total_enrollment_est,state_appropriation_usd,federal_research_grants_usd,endowment_payout_usd,net_tuition_revenue_usd,scholarship_awarded_usd,scholarship_budget_usd
C16,2020,243,1948000,430000,272000,3015000,899000,969000
C16,2021,275,2277000,448000,149000,3276000,796000,982000
C16,2022,300,2893000,500000,673000,3915000,1070000,1272000
C16,2023,319,3053000,346000,541000,4654000,870000,922000
C16,2024,322,2472000,596000,180000,4903000,1160000,1299000
C16,2025,302,3138000,612000,165000,4386000,1016000,1263000
C17,2018,327,2905000,297000,764000,3779000,972000,1181000
C17,2019,227,1667000,496000,550000,3258000,731000,869000
C17,2020,213,1881000,432000,158000,3128000,610000,733000
C17,2021,282,2410000,368000,167000,3868000,830000,972000
C17,2022,349,3188000,865000,551000,5269000,1206000,1453000
C17,2023,281,2719000,316000,550000,4458000,978000,1269000
C17,2024,301,2413000,438000,751000,4941000,976000,1166000
C17,2025,373,4034000,343000,848000,6393000,1501000,1723000
C18,2018,322,141000,799000,2538000,8647000,3719000,3933000
C18,2019,364,260000,867000,3177000,9981000,4459000,5696000
C18,2020,327,285000,632000,2791000,9876000,3491000,4159000
C18,2021,369,327000,1020000,1227000,11151000,4493000,5041000
C18,2022,332,215000,694000,2114000,9924000,4530000,5000000
C18,2023,378,219000,1022000,4149000,12104000,4776000,5873000
C18,2024,326,276000,1036000,3432000,10818000,4287000,5225000
C18,2025,395,131000,1020000,2325000,13265000,5412000,6982000
C19,2018,307,175000,967000,2863000,6733000,2924000,3088000
C19,2019,256,107000,594000,2560000,6129000,2264000,2678000
C19,2020,255,152000,649000,2335000,6144000,2316000,2950000
C19,2021,347,191000,814000,3002000,8605000,3464000,4458000
C19,2022,447,365000,1058000,3352000,11283000,4717000,5537000
C19,2023,308,259000,545000,3026000,8245000,3153000,3794000
C19,2024,359,184000,983000,2786000,9791000,3766000,4558000
C19,2025,392,233000,1231000,1217000,11119000,4192000,4890000
C20,2018,280,224000,493000,1054000,6694000,2614000,2849000
C20,2019,370,197000,1015000,2011000,9183000,3305000,4102000
C20,2020,327,185000,981000,3072000,8249000,3200000,3835000
C20,2021,339,298000,1063000,3426000,8908000,3445000,3877000
C20,2022,342,130000,1017000,1667000,9070000,3730000,4834000
C20,2023,329,289000,500000,3279000,8901000,3834000,4377000
C20,2024,290,209000,636000,2957000,8213000,3309000,4279000
C20,2025,339,140000,975000,1565000,9655000,4256000,4807000
C21,2018,76,67000,213000,702000,2335000,849000,1026000
C21,2019,96,81000,313000,472000,3036000,1176000,1462000
C21,2020,107,56000,276000,877000,3093000,1693000,1874000
C21,2021,51,23000,169000,346000,1649000,678000,754000
C21,2022,104,78000,214000,665000,3575000,1401000,1812000
C21,2023,89,48000,205000,820000,3153000,1215000,1441000
C21,2024,95,74000,322000,728000,3064000,1685000,2038000
C21,2025,86,69000,289000,596000,3440000,1004000,1246000
C22,2018,409,3257000,405000,669000,5056000,1181000,1421000
C22,2019,392,2630000,324000,779000,5571000,1226000,1353000
C22,2020,280,2543000,279000,566000,3883000,810000,969000
C22,2021,416,4072000,941000,837000,5842000,1220000,1400000
C22,2022,431,3357000,711000,1036000,5823000,1559000,1782000
C22,2023,474,4008000,797000,960000,7690000,1728000,2074000
C22,2024,368,3254000,561000,434000,5412000,1319000,1697000
C22,2025,457,3762000,801000,236000,7276000,1645000,2132000
C23,2018,150,46000,285000,1468000,4144000,1370000,1540000
C23,2019,124,37000,380000,936000,3140000,1620000,1878000
C23,2020,111,51000,324000,626000,3068000,1284000,1628000
C23,2021,143,114000,218000,1185000,3941000,1842000,1936000
C23,2022,122,70000,269000,456000,3469000,1613000,1983000
C23,2023,129,74000,272000,503000,4097000,1544000,1818000
C23,2024,132,112000,443000,699000,4297000,1461000,1709000
C23,2025,175,139000,521000,1327000,5447000,2542000,2694000
C24,2018,211,0,38000,0,3205000,413000,441000
C24,2019,218,0,87000,0,3256000,625000,752000
C24,2020,159,0,46000,0,2354000,477000,608000
C24,2021,276,0,35000,0,4521000,593000,697000
C24,2022,181,0,68000,0,2744000,766000,969000
C24,2023,244,0,73000,0,4352000,544000,605000
C24,2024,224,0,81000,0,3925000,741000,873000
C24,2025,269,0,102000,0,4964000,819000,1059000
C25,2018,530,3825000,608000,1232000,7243000,1528000,1842000
C25,2019,485,4472000,889000,869000,6448000,1516000,1797000
C25,2020,477,4596000,1083000,1151000,6821000,1532000,1802000
C25,2021,477,3781000,786000,802000,7015000,1942000,2155000
C25,2022,525,4992000,620000,996000,7996000,2103000,2250000
C25,2023,648,4769000,1504000,461000,10336000,2476000,3169000
C25,2024,627,5380000,1537000,820000,10375000,2410000,2983000
C25,2025,597,5919000,1215000,484000,10209000,2500000,3199000
C26,2018,309,2080000,392000,222000,3364000,733000,826000
C26,2019,264,1876000,451000,230000,3057000,647000,741000
C26,2020,328,2441000,586000,319000,3693000,979000,1124000
C26,2021,293,2257000,612000,249000,3225000,1284000,1458000
C26,2022,376,2687000,574000,360000,5005000,1426000,1772000
C26,2023,294,2161000,576000,312000,4201000,947000,1024000
C26,2024,281,2988000,304000,528000,3982000,1181000,1408000
C26,2025,420,3800000,1029000,423000,6416000,1883000,2126000
C27,2018,290,0,85000,0,4351000,492000,607000
C27,2019,307,0,140000,0,4716000,704000,825000
C27,2020,235,0,97000,0,3597000,602000,636000
C27,2021,346,0,144000,0,5555000,836000,973000
C27,2022,424,0,150000,0,6786000,1266000,1420000
C27,2023,311,0,116000,0,5103000,967000,1198000
C27,2024,372,0,117000,0,6471000,1012000,1195000
C27,2025,361,0,98000,0,6452000,1172000,1452000
C28,2018,107,759000,212000,262000,1512000,308000,344000
C28,2019,147,1111000,200000,116000,2024000,492000,531000
C28,2020,173,1357000,194000,430000,2050000,622000,782000
C28,2021,144,1026000,252000,300000,2066000,526000,608000
C28,2022,127,952000,348000,278000,1601000,464000,498000
C28,2023,135,1104000,344000,68000,2020000,410000,496000
C28,2024,150,1352000,354000,194000,1990000,546000,591000
C28,2025,140,1392000,269000,176000,2338000,480000,507000
C29,2018,636,388000,1775000,2561000,16779000,6897000,7377000
C29,2019,634,284000,1860000,3263000,16979000,7146000,8567000
C29,2020,587,448000,1721000,4982000,16947000,6400000,7073000
C29,2021,851,497000,1667000,9476000,24961000,9727000,10854000
C29,2022,730,258000,1183000,5876000,22032000,8650000,10109000
C29,2023,755,611000,1808000,8690000,23374000,9361000,10325000
C29,2024,789,322000,2722000,7208000,24918000,10075000,12085000
C29,2025,796,682000,2123000,6755000,25543000,11073000,11794000
C30,2018,149,1236000,279000,271000,1809000,432000,498000
C30,2019,182,1583000,202000,264000,2438000,711000,847000
C30,2020,191,1876000,479000,361000,2915000,690000,882000
C30,2021,195,1663000,333000,341000,3164000,602000,713000
C30,2022,138,1043000,249000,200000,2056000,666000,704000
C30,2023,199,1862000,313000,408000,3174000,783000,872000
C30,2024,178,1614000,247000,208000,2984000,936000,1178000
C30,2025,238,1905000,237000,308000,4212000,796000,942000
